LEFT_EYE_INNER: (x: 0.8558588624000549, y: 0.5272276997566223, z: 0.14420011639595032)
LEFT_EYE: (x: 0.8549802303314209, y: 0.52731853723526, z: 0.14420516788959503)
LEFT_EYE_OUTER: (x: 0.8540782332420349, y: 0.5275257229804993, z: 0.14416024088859558)
RIGHT_EYE_INNER: (x: 0.8591009974479675, y: 0.5267769694328308, z: 0.14838454127311707)
RIGHT_EYE: (x: 0.8605431318283081, y: 0.5265378355979919, z: 0.14838291704654694)
RIGHT_EYE_OUTER: (x: 0.8620190024375916, y: 0.5264374613761902, z: 0.14835576713085175)
LEFT_EAR: (x: 0.8542369604110718, y: 0.5312462449073792, z: 0.08719351142644882)
RIGHT_EAR: (x: 0.8658382892608643, y: 0.5295052528381348, z: 0.10527048259973526)
MOUTH_LEFT: (x: 0.8555982708930969, y: 0.5387957096099854, z: 0.1414131075143814)
MOUTH_RIGHT: (x: 0.8596354722976685, y: 0.5385453104972839, z: 0.14636056125164032)
LEFT_SHOULDER: (x: 0.8455608487129211, y: 0.5665909647941589, z: 0.03822027146816254)
RIGHT_SHOULDER: (x: 0.8844476938247681, y: 0.5699190497398376, z: 0.09263617545366287)
LEFT_ELBOW: (x: 0.843658983707428, y: 0.628840982913971, z: 0.06664549559354782)
RIGHT_ELBOW: (x: 0.8889403939247131, y: 0.6314574480056763, z: 0.11034677922725677)
LEFT_WRIST: (x: 0.8386217355728149, y: 0.6272366046905518, z: 0.1488426774740219)
RIGHT_WRIST: (x: 0.8754675388336182, y: 0.6628705859184265, z: 0.13661211729049683)
LEFT_PINKY: (x: 0.8324460983276367, y: 0.6224105358123779, z: 0.15694381296634674)
RIGHT_PINKY: (x: 0.8725754022598267, y: 0.6712793707847595, z: 0.14346903562545776)
LEFT_INDEX: (x: 0.8340772390365601, y: 0.6178967952728271, z: 0.16149596869945526)
RIGHT_INDEX: (x: 0.8690852522850037, y: 0.6678360104560852, z: 0.14249420166015625)
LEFT_THUMB: (x: 0.8369389772415161, y: 0.618927001953125, z: 0.1529386192560196)
RIGHT_THUMB: (x: 0.868918240070343, y: 0.6636589765548706, z: 0.13666602969169617)
LEFT_HIP: (x: 0.8538709282875061, y: 0.677361249923706, z: -0.030643966048955917)
RIGHT_HIP: (x: 0.8746167421340942, y: 0.6789928674697876, z: 0.030726125463843346)
LEFT_KNEE: (x: 0.8554770350456238, y: 0.758070707321167, z: -0.03272710368037224)
RIGHT_KNEE: (x: 0.872197151184082, y: 0.7577956318855286, z: 0.04557459428906441)
LEFT_ANKLE: (x: 0.865380048751831, y: 0.8473951816558838, z: -0.04937142878770828)
RIGHT_ANKLE: (x: 0.8682898283004761, y: 0.8420304656028748, z: 0.03371383994817734)
LEFT_HEEL: (x: 0.870007336139679, y: 0.865724503993988, z: -0.051537711173295975)
RIGHT_HEEL: (x: 0.8707778453826904, y: 0.8579518795013428, z: 0.03174026310443878)
LEFT_FOOT_INDEX: (x: 0.8484889268875122, y: 0.8552687168121338, z: -0.06316515058279037)
RIGHT_FOOT_INDEX: (x: 0.8562231063842773, y: 0.8496349453926086, z: 0.021520443260669708)


Landmark coordinates for frame 0:
NOSE: (x: 0.8569976687431335, y: 0.533118724822998, z: 0.1593884378671646)
LEFT_EYE_INNER: (x: 0.8559530973434448, y: 0.5270212888717651, z: 0.1443426012992859)
LEFT_EYE: (x: 0.8550717830657959, y: 0.527115523815155, z: 0.14434814453125)
LEFT_EYE_OUTER: (x: 0.8541688919067383, y: 0.5273236632347107, z: 0.1443025916814804)
RIGHT_EYE_INNER: (x: 0.859210729598999, y: 0.5265829563140869, z: 0.14848358929157257)
RIGHT_EYE: (x: 0.8606628775596619, y: 0.526354968547821, z: 0.14848284423351288)
RIGHT_EYE_OUTER: (x: 0.8621436953544617, y: 0.5262596011161804, z: 0.14845629036426544)
LEFT_EAR: (x: 0.8543092012405396, y: 0.5310874581336975, z: 0.08722516149282455)
RIGHT_EAR: (x: 0.8659706115722656, y: 0.5292834639549255, z: 0.10518147051334381)
MOUTH_LEFT: (x: 0.8556488752365112, y: 0.5385790467262268, z: 0.1415010392665863)
MOUTH_RIGHT: (x: 0.8597123622894287, y: 0.5383418798446655, z: 0.14639289677143097)
LEFT_SHOULDER: (x: 0.8455520272254944, y: 0.5664349794387817, z: 0.03809797018766403)
RIGHT_SHOULDER: (x: 0.8845147490501404, y: 0.5699186325073242, z: 0.09257850795984268)
LEFT_ELBOW: (x: 0.8436119556427002, y: 0.6287981271743774, z: 0.06660248339176178)
RIGHT_ELBOW: (x: 0.8889745473861694, y: 0.6314675807952881, z: 0.11011140793561935)
LEFT_WRIST: (x: 0.8349844813346863, y: 0.6214193105697632, z: 0.1484292894601822)
RIGHT_WRIST: (x: 0.8758955597877502, y: 0.663189709186554, z: 0.13632918894290924)
LEFT_PINKY: (x: 0.8324528932571411, y: 0.622405469417572, z: 0.1564309298992157)
RIGHT_PINKY: (x: 0.873143196105957, y: 0.6717959046363831, z: 0.14317525923252106)
LEFT_INDEX: (x: 0.834105908870697, y: 0.6178961992263794, z: 0.16096578538417816)
RIGHT_INDEX: (x: 0.8696893453598022, y: 0.6684346199035645, z: 0.14229324460029602)
LEFT_THUMB: (x: 0.83696448802948, y: 0.6189222931861877, z: 0.15249842405319214)
RIGHT_THUMB: (x: 0.8694626688957214, y: 0.6641897559165955, z: 0.1364041119813919)
LEFT_HIP: (x: 0.8538677096366882, y: 0.6773383617401123, z: -0.030704379081726074)
RIGHT_HIP: (x: 0.8746325373649597, y: 0.6789477467536926, z: 0.03078613057732582)
LEFT_KNEE: (x: 0.8554769158363342, y: 0.7579968571662903, z: -0.03272942081093788)
RIGHT_KNEE: (x: 0.8721988201141357, y: 0.7577617168426514, z: 0.04596717655658722)
LEFT_ANKLE: (x: 0.8653761148452759, y: 0.847379744052887, z: -0.04874284937977791)
RIGHT_ANKLE: (x: 0.8682869672775269, y: 0.8419198989868164, z: 0.03502278029918671)
LEFT_HEEL: (x: 0.8700052499771118, y: 0.8657199740409851, z: -0.05082111433148384)
RIGHT_HEEL: (x: 0.8707670569419861, y: 0.8577753305435181, z: 0.03317452222108841)
LEFT_FOOT_INDEX: (x: 0.8484917283058167, y: 0.855279266834259, z: -0.06254800409078598)
RIGHT_FOOT_INDEX: (x: 0.8562564253807068, y: 0.8496116399765015, z: 0.023033324629068375)


Landmark coordinates for frame 0:
NOSE: (x: 0.8570225834846497, y: 0.5328097343444824, z: 0.15861202776432037)
LEFT_EYE_INNER: (x: 0.8560131192207336, y: 0.5266526341438293, z: 0.14355243742465973)
LEFT_EYE: (x: 0.8551394939422607, y: 0.5267346501350403, z: 0.14355996251106262)
LEFT_EYE_OUTER: (x: 0.8542462587356567, y: 0.5269270539283752, z: 0.14351388812065125)
RIGHT_EYE_INNER: (x: 0.8592645525932312, y: 0.5262860655784607, z: 0.14766497910022736)
RIGHT_EYE: (x: 0.8607231378555298, y: 0.5260869860649109, z: 0.14766567945480347)
RIGHT_EYE_OUTER: (x: 0.8622151017189026, y: 0.5260025262832642, z: 0.14764147996902466)
LEFT_EAR: (x: 0.8544116616249084, y: 0.5307909250259399, z: 0.08627136051654816)
RIGHT_EAR: (x: 0.8661008477210999, y: 0.529016375541687, z: 0.10400301963090897)
MOUTH_LEFT: (x: 0.8556686043739319, y: 0.5383283495903015, z: 0.1406594216823578)
MOUTH_RIGHT: (x: 0.8597371578216553, y: 0.5381482243537903, z: 0.1455051153898239)
LEFT_SHOULDER: (x: 0.8455494046211243, y: 0.5663226842880249, z: 0.037593353539705276)
